Index,city,Date,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,PM2.5_avg,PM10_avg,RH_avg,Confirmed,Recovered,Deceased
1,bangalore,2020-06-01,0.779875,8.36834375,4.1218125,15.766625,15.22796875,21.859375,67.3859375,61.17059375,383,243,11
2,bangalore,2020-07-01,0.6353666667,6.440433333,5.337866667,14.60006667,15.68176667,20.11036667,56.684,72.82526667,5290,544,97
3,bangalore,2020-08-01,0.5941612903,6.486516129,4.858,13.66022581,15.51441935,16.98425806,50.56929032,74.36974194,57396,18579,1056
4,bangalore,2020-09-01,0.5689677419,6.422774194,5.701709677,15.09332258,17.44183871,22.87977419,59.63145161,71.09464516,132092,91180,2005
5,bangalore,2020-10-01,0.7171,6.265566667,4.7939,13.27323333,14.86933333,21.76116667,63.93603333,72.9169,237516,185063,2977
6,bangalore,2020-11-01,0.798516129,7.375580645,3.871967742,17.25664516,15.31925806,33.39493548,75.27974194,72.79806452,338636,304163,3874
7,bangalore,2020-12-01,0.8130666667,8.722733333,5.213033333,20.90063333,17.60536667,32.47326667,74.42736667,72.95226667,370492,348479,4146
8,bangalore,2021-01-01,0.7388709677,9.700677419,6.269709677,27.45719355,21.78893548,39.87745161,80.06719355,70.81883871,388850,377443,4321
9,bangalore,2021-02-01,0.625483871,8.287419355,6.665,27.42709677,23.38974194,38.8686129,82.58054839,65.85267742,399087,390913,4393
10,bangalore,2021-03-01,0.7064285714,10.17328571,7.185892857,33.25228571,28.91242857,42.69717857,93.71935714,52.54317857,405847,397271,4483
11,bangalore,2021-04-01,0.7448387097,11.74712903,7.965290323,31.36232258,29.10829032,40.17774194,91.10025806,43.14625806,437733,411313,4630
12,bangalore,2021-05-01,0.6974666667,11.6124,7.180266667,28.66446667,26.40853333,39.78053333,85.90893333,57.483,776093,498562,6537
13,bangalore,2021-06-01,0.6300967742,9.589193548,7.424225806,18.63841935,22.80206452,17.99090323,40.66009677,67.26977419,1166647,1009322,13622
14,bangalore,2021-07-01,0.6143,10.01496667,6.407566667,20.40873333,20.77396667,21.36526667,50.051,71.07273333,1214235,1165074,15644
1,chennai,2020-06-01,0.762625,23.98625,4.79759375,9.58165625,11.1235,24.9875,68.05403125,68.60578125,15766,8181,141
2,chennai,2020-07-01,0.8845333333,23.05726667,6.065066667,11.52813333,14.1314,29.57623333,62.74483333,70.52906667,60533,36826,926
3,chennai,2020-08-01,0.7988709677,23.13870968,4.008645161,11.97496774,12.86448387,28.71845161,62.35154839,72.29964516,100877,86301,2137
4,chennai,2020-09-01,0.740483871,22.90145161,3.755258065,10.32009677,10.65912903,29.88335484,63.44529032,72.25006452,136697,120820,2767
5,chennai,2020-10-01,0.6610666667,25.77963333,4.406566667,11.1532,12.15623333,30.2756,62.20503333,73.3561,168689,153846,3225
6,chennai,2020-11-01,0.6622580645,25.26545161,4.164774194,11.44070968,12.46983871,32.22609677,64.5596129,72.96096774,200533,189866,3659
7,chennai,2020-12-01,0.6450333333,24.08173333,5.114933333,11.9342,13.04296667,32.4157,60.77006667,76.5268,215739,208183,3851
8,chennai,2021-01-01,0.6646129032,28.911,4.778290323,12.64980645,13.35558065,39.5696129,74.97051613,74.088,225758,219216,4011
9,chennai,2021-02-01,0.8140322581,29.0966129,5.299580645,12.25729032,13.97516129,41.16267742,71.10990323,74.84048387,231424,225729,4106
10,chennai,2021-03-01,0.6851071429,27.55189286,5.371535714,13.22889286,14.42882143,38.36042857,74.20110714,69.137,235721,229783,4152
11,chennai,2021-04-01,0.740516129,24.95783871,5.722064516,11.68287097,14.001,31.62590323,72.08432258,71.61890323,250000,239056,4246
12,chennai,2021-05-01,0.7286,23.63023333,4.0959,8.0695,10.2113,20.82823333,57.8936,71.6659,339797,303531,4788
13,chennai,2021-06-01,0.7746774194,21.29632258,3.535,7.445064516,9.352548387,19.32867742,52.99525806,69.06845161,506937,467723,7145
14,chennai,2021-07-01,0.9369666667,20.33546667,3.9811,9.000266667,10.73846667,23.2657,60.8684,66.9292,532759,521637,8191
1,delhi,2020-06-01,0.9675625,34.02175,12.47865625,26.88453125,26.28003125,59.99125,153.5015938,45.44759375,20834,8746,523
2,delhi,2020-07-01,0.9369,35.85573333,9.310633333,24.4203,21.92213333,50.60666667,138.3142667,56.228,89802,59992,2803
3,delhi,2020-08-01,0.9463548387,31.56848387,10.81209677,23.14945161,22.69490323,38.49596774,90.51812903,67.80596774,136716,122131,3989
4,delhi,2020-09-01,0.910483871,27.24306452,13.37235484,23.88554839,25.74087097,30.80009677,70.12493548,71.15112903,177060,156728,4462
5,delhi,2020-10-01,0.9403333333,29.6891,17.99973333,31.82766667,33.63866667,52.1468,134.0942,61.2988,282752,250613,5401
6,delhi,2020-11-01,1.649,41.44535484,52.54854839,58.04629032,80.552,135.9732581,288.7155161,49.98796774,392370,351635,6562
7,delhi,2020-12-01,2.1103,47.28766667,67.82996667,66.61856667,98.1944,208.5967,346.6568,57.14546667,574380,533351,9260
8,delhi,2021-01-01,1.961709677,55.57458065,58.38483871,57.65306452,84.06296774,197.8703871,324.1022903,66.72554839,625954,610039,10557
9,delhi,2021-02-01,1.723580645,51.32429032,45.92619355,47.48535484,66.89606452,189.0879032,294.2124194,75.84454839,635217,623096,10856
10,delhi,2021-03-01,1.717071429,57.37117857,57.04314286,55.65917857,81.57396429,144.558,281.2363571,63.856,639464,627149,10911
11,delhi,2021-04-01,1.210419355,47.77232258,35.19919355,44.20587097,57.16658065,93.81596774,244.0942258,47.90332258,665220,643686,11036
12,delhi,2021-05-01,1.139433333,40.7687,25.2069,43.0014,45.43173333,85.943,221.0343333,34.3795,1174552,1061246,16559
13,delhi,2021-06-01,0.9918064516,42.43306452,17.24003226,32.39629032,31.46554839,56.97751613,145.8162258,48.34496774,1426863,1392386,24299
14,delhi,2021-07-01,1.010733333,41.78986667,13.81566667,30.2722,28.34326667,56.28683333,164.2021,52.97603333,1434281,1407943,24981
1,kolkata,2020-06-01,0.3965,11.44378125,5.57465625,10.2965625,15.6350625,23.56534375,49.34040625,78.21134375,2179,925,214
2,kolkata,2020-07-01,0.3649,10.17183333,5.756833333,12.0607,16.8241,13.82903333,36.01296667,84.0538,6222,3878,386
3,kolkata,2020-08-01,0.3910645161,11.07219355,6.870064516,12.53580645,18.48293548,18.34674194,48.01990323,84.43490323,22353,15089,779
4,kolkata,2020-09-01,0.4948709677,8.858,5.397903226,11.91564516,16.85648387,16.42296774,38.51980645,89.34209677,40708,34717,1301
5,kolkata,2020-10-01,0.4956333333,8.3239,5.625466667,11.97043333,17.434,16.07146667,38.9615,86.40116667,57081,49984,1721
6,kolkata,2020-11-01,0.6546451613,9.865129032,9.754903226,17.443,27.00667742,33.18480645,70.51770968,82.62029032,82182,72989,2222
7,kolkata,2020-12-01,0.8641333333,22.47253333,27.87633333,47.1893,74.00353333,83.76103333,160.6529667,66.27446667,107540,98634,2616
8,kolkata,2021-01-01,1.353806452,23.36180645,45.31106452,55.38996774,98.25609677,135.6895484,236.0301935,71.66032258,123605,117959,2956
9,kolkata,2021-02-01,1.210258065,27.78590323,35.03648387,53.11729032,85.70841935,126.5103226,223.9378387,69.07232258,127875,123615,3075
10,kolkata,2021-03-01,1.126928571,30.07275,39.72096429,57.61867857,94.03917857,104.4624643,202.5426786,62.03110714,129481,125192,3101
11,kolkata,2021-04-01,0.648,26.39409677,14.33841935,30.8223871,44.97654839,70.35264516,154.9206452,62.571,133962,128319,3124
12,kolkata,2021-05-01,0.6452333333,16.27883333,9.458233333,18.29206667,27.69306667,39.84523333,88.67406667,69.30653333,195342,165678,3455
13,kolkata,2021-06-01,0.4005483871,16.14019355,6.86783871,14.35287097,21.2063871,26.99245161,47.10764516,82.67709677,296478,281345,4488
14,kolkata,2021-07-01,0.3806666667,19.91946667,6.6077,14.08463333,20.68993333,29.2122,47.49173333,92.3983,308218,301687,4919
1,mumbai,2020-06-01,0.53109375,18.57540625,23.02396875,18.4800625,35.3085,42.45421875,97.0714375,70.99546875,41099,16985,1319
2,mumbai,2020-07-01,0.5448666667,21.40946667,22.28653333,18.8749,36.0239,40.34326667,89.14756667,74.7497,79145,44791,4631
3,mumbai,2020-08-01,0.5481612903,22.66445161,25.89509677,17.90222581,38.49670968,39.67012903,89.77367742,78.41483871,115331,87906,6398
4,mumbai,2020-09-01,0.5104516129,20.53970968,22.75235484,17.60203226,35.20380645,39.77203226,87.6153871,79.32493548,146947,118859,7693
5,mumbai,2020-10-01,0.6191,23.22536667,25.8632,20.4471,41.04613333,45.1408,102.0952667,76.47233333,207620,170678,8972
6,mumbai,2020-11-01,0.825483871,26.52648387,24.82912903,24.27374194,43.88135484,54.33645161,113.9810323,73.99922581,258405,229025,10318
7,mumbai,2020-12-01,0.9174333333,34.31063333,26.61053333,32.91566667,53.98196667,65.6982,133.2320667,64.6876,284191,257410,10893
8,mumbai,2021-01-01,0.9499354839,31.45041935,31.26541935,37.23532258,61.22677419,75.45435484,145.6663226,66.80248387,294067,273135,11125
9,mumbai,2021-02-01,1.012903226,25.67925806,28.54980645,37.7326129,59.95945161,93.58525806,177.9275806,67.90219355,309303,291373,11361
10,mumbai,2021-03-01,0.971,27.54496429,29.54342857,38.90189286,61.25682143,68.60442857,146.6646786,58.75392857,326772,306129,11479
11,mumbai,2021-04-01,0.881516129,30.00345161,29.96216129,33.14622581,56.1496129,63.08380645,154.3372581,60.18648387,423419,355944,11708
12,mumbai,2021-05-01,0.4991666667,16.64983333,17.51913333,15.00196667,29.4595,38.269,99.90313333,73.3369,652368,574202,13215
13,mumbai,2021-06-01,0.4056774194,14.00574194,23.05251613,18.29645161,34.19106452,31.22629032,81.96322581,75.28122581,706118,668976,14849
14,mumbai,2021-07-01,0.4464333333,17.45323333,26.16043333,16.2991,37.24646667,26.77843333,66.70113333,83.5687,722878,692498,15472
